CANDIDATE_ID,Job_Title
7295175,social worker
7295175,sales assistant
7295175,producer
7294718,usher
7294718,sales assistant
7294554,Translator
7294554,Project Manager
7294438,promoter
7294166,branch manager
7294150,cashier
7293208,archivist
7293208,secretary
7293208,real estate agent
7292989,electrician
7292989,blacksmith
7291743,marketing consultant
7291743,welder
7291504,waitress
7291504,Cook
7291504,welder
7291389,
7291347,chef
7290973,waitress
7290973,cook
7290973,cashier
7290973,chef
7290973,shop assistant
7290973,waiter
7290706,chef
7289751,warehouse worker
7289334,goldsmith
7289334,sales assistant
7289334,department manager
7288103,
7287575,
7287416,
7287326,chef
7287326,cook
7287326,waiter
7286960,
7286661,waiter
7286540,security guard
7286164,
7285827,project manager
7285827,medium
7285827,waiter
7285309,photographer
7285309,warehouse manager
7285309,warehouse worker
7285309,sales assistant
7285069,violin maker
7285041,weaver
7283298,
7282933,
7282464,sales manager
7280966,babysitter
7280922,illustrator
7280922,actress
7280922,actor
7280922,composer
7280922,writer
7280922,secretary
7280849,pastry chef
7280849,chef
7280849,baker
7280131,forklift operator
7279663,barista
7279663,bartender
7279663,waiter
7279549,librarian
7279463,warehouse worker
7279463,medium
7279420,secretary
7279249,
7278455,cook
7277814,
7276929,au pair
7276485,
7275909,sales assistant
7275909,merchandiser
7275909,Illustrator
7275909,visual merchandiser
7275909,waiter
7275802,
7275771,
7274723,chef
7274723,purchasing manager
7274723,cashier
7273701,electrician
7273095,bricklayer
7271833,
7271756,
7271473,barista
7271473,waiter
7271365,
7271117,animator
7271117,waitress
7271117,warehouse worker
7271117,waiter
7270656,
7270614,chef
7270614,bartender
7270079,waitress
7269678,medium
7269416,cashier
7269416,sales assistant
7269416,judge
7269099,
7268636,warehouse worker
7267757,
7267395,mediator
7267395,waitress
7267395,hairdresser
7267259,Sales assistant
7267259,illustrator
7267259,cashier
7267259,Postman
7267177,
7266379,barista
7265646,
7265108,barista
7264374,warehouse manager
7264374,warehouse worker
7264374,sales assistant
7263862,football coach
7263862,cook
7262376,cook
7262376,Carpenter
7262376,graphic designer
7262376,music teacher
7262376,real estate agent
7262376,waiter
7262376,Sales Manager
7261847,
7260808,cashier
7260477,waitress
7260477,wedding planner
7260477,hairdresser
7260087,
7259633,chef
7259455,barista
7259455,waitress
7259455,sales assistant
7259455,marketing manager
7259455,receptionist
7259429,waitress
7258539,barista
7258539,waitress
7256120,credit manager
7255783,secretary
7255783,waitress
7255423,library assistant
7255423,optician
7255423,optometrist
7253952,Office Clerk
7253952,promoter
7253952,waitress
7253952,office clerk
7253952,hostess
7253952,receptionist
7253952,Hostess
7253715,promoter
7253715,babysitter
7253715,hostess
7252471,security guard
7252183,babysitter
7252183,office clerk
7252183,sales assistant
7252183,cashier
7252012,
7246843,
7246752,art therapist
7246752,medium
7246752,travel agent
7246728,babysitter
7246728,waitress
7246728,sales assistant
7244689,waitress
7244509,promoter
7244509,sales assistant
7243738,
7243182,cashier
7243182,warehouse worker
7243182,interior designer
7242808,
7242443,
7242049,
7241952,bricklayer
7241566,warehouse worker
7241517,secretary
7241517,sales manager
7241517,warehouse worker
7241392,plumber
7241113,receptionist
7241113,waiter
7240741,animator
7240121,sales assistant
7240121,waiter
7239048,barista
7239048,waitress
7239048,bartender
7238935,security guard
7238935,sales assistant
7238850,promoter
7238850,cashier
7238850,sales assistant
7238734,warehouse manager
7238383,
7237485,
7236233,
7235704,postman
7235704,restaurant manager
7235704,waitress
7235611,social worker
7235611,babysitter
7235611,social care worker
7234936,
7233562,office clerk
7233555,human resources manager
7232983,accounting assistant
7232983,waitress
7232812,security guard
7232812,illustrator
7232812,waitress
7232812,architect
7232812,project manager
7232812,bartender
7232395,cashier
7232395,warehouse manager
7232395,warehouse worker
7232395,sales assistant
7232284,cook
7232182,human resources manager
7232182,office clerk
7232182,hostess
7232182,business consultant
7232182,sales manager
7232182,secretary
7232182,operations manager
7231957,
7231559,
7231280,
7231232,waiter
7230385,software developer
7230385,project manager
7230306,waitress
7230209,ski lift operator
7229505,
7228612,
7228568,electrician
7228568,bricklayer
7228568,warehouse worker
7228509,receptionist
7228509,secretary
7228509,management assistant
7228509,Receptionist
7228457,postman
7228457,tyre fitter
7228457,warehouse worker
7228164,
7227943,
7227821,bricklayer
7227707,lawyer
7227707,secretary
7227517,
7227380,fashion designer
7227380,knitter
7226715,chef
7226715,shop assistant
7226715,baker
7226577,
7226388,personal trainer
7226388,sales assistant
7225372,music director
7224894,sales manager
7224894,event manager
7224711,electrician
7224711,industrial electrician
7222553,chef
7222553,sales assistant
7221823,medium
7221124,
7220963,lawyer
7219445,secretary
7219445,sales assistant
7219133,
7218163,accounting analyst
7216607,kitchen assistant
7216607,waitress
7216607,hospital pharmacist
7216607,cashier
7216607,pharmacy assistant
7216607,pharmacist
7216582,
7215973,sales assistant
7215973,medium
7215802,
7213291,plumber
7213267,electrician
7213267,sales assistant
7213267,welder
7213267,cashier
7213267,host
7213267,accountant
7213267,warehouse worker
7212755,warehouse worker
7212755,sales assistant
7212303,cashier
7169996,
7169978,tourist guide
7169978,secretary
7169978,administrative assistant
7169978,tutor
7169956,receptionist
7169956,sales assistant
7167539,
7165227,
7164932,babysitter
7164932,waitress
7164932,bartender
7164932,cashier
7164548,
7164539,
7164534,
7164533,sales assistant
7164497,
7163148,
7162655,waitress
7162601,tutor
7162514,
7162423,
7161928,waiter
7161927,
7161923,project manager
7161923,illustrator
7161923,babysitter
7161923,hostess
7159952,chef
7159912,
7159481,carpenter
7158761,sales assistant
7158761,cashier
7158761,department manager
7158761,purchasing manager
7158761,room attendant
7158759,babysitter
7158748,
7158742,carpenter
7158742,warehouse worker
7158742,plumber
7158732,
7157172,waitress
7157172,cashier
7155547,receptionist
7155547,waiter
7155546,
7155543,illustrator
7155543,sales manager
7155540,
7153214,plasterer
7153214,tutor
7152651,
7152582,Cashier
